CSN U12 Masculin;2025-2026;;;;;;;
id;weekday;date;time;home team;away team;arena;score;attendance
25;Tuesday;2026-06-30;00:00:00;ASBC Valbon Arad;CS Valcea 1924 Ramnicu Valcea Rosu;;0-0;
19;Tuesday;2026-06-30;00:00:00;ACS Madmax Iasi;ABC Rising Stars Popesti Leordeni Negru;;0-0;
20;Tuesday;2026-06-30;00:00:00;ACS Educatie si Performanta prin Baschet Bucuresti;ACS Baschet Team Giurgiu;;0-0;
22;Tuesday;2026-06-30;00:00:00;ACS Total Sport Bucuresti;CSU Andu Sibiu Galben;;0-0;
23;Tuesday;2026-06-30;00:00:00;ACS Vikings Basketball Academy Iasi;ABC Laguna Bucuresti Alb;;0-0;
24;Tuesday;2026-06-30;00:00:00;CS MP Sport Timisoara;CSM Ploiesti;;0-0;
25;Tuesday;2026-06-30;00:00:00;ABC Rising Stars Popesti Leordeni Negru;ACS Total Sport Bucuresti;;0-0;
26;Tuesday;2026-06-30;00:00:00;ACS Baschet Team Giurgiu;ACS Madmax Iasi;;0-0;
27;Tuesday;2026-06-30;00:00:00;ACS Cormoran Constanta Smarald;ACS Educatie si Performanta prin Baschet Bucuresti;;0-0;
29;Tuesday;2026-06-30;00:00:00;CSU Andu Sibiu Galben;ACS Vikings Basketball Academy Iasi;;0-0;
30;Tuesday;2026-06-30;00:00:00;ABC Laguna Bucuresti Alb;CS MP Sport Timisoara;;0-0;
16;Tuesday;2026-06-30;00:00:00;CS Vest Activ Timisoara Albastru;ACS Jaguarii Bucuresti;;0-0;
17;Tuesday;2026-06-30;00:00:00;CS Campina;ACS Supreme Constanta;;0-0;
19;Tuesday;2026-06-30;00:00:00;A Solaris Sporting Club Ploiesti 1;ACS Deceneu Tulcea 2;;0-0;
20;Tuesday;2026-06-30;00:00:00;ABC Leii Bucuresti;ACS BC Lions Craiova;;0-0;
21;Tuesday;2026-06-30;00:00:00;ACS Deceneu Tulcea 2;ABC Leii Bucuresti;;0-0;
23;Tuesday;2026-06-30;00:00:00;ACS Jaguarii Bucuresti;A Solaris Sporting Club Ploiesti 1;;0-0;
24;Tuesday;2026-06-30;00:00:00;ACS Supreme Constanta;CS Vest Activ Timisoara Albastru;;0-0;
25;Tuesday;2026-06-30;00:00:00;ACS Vilis Bucuresti;CS Campina;;0-0;
19;Tuesday;2026-06-30;00:00:00;ACS Star 2010 Tragu Jiu;ABC Laguna Bucuresti Negru;;0-0;
20;Tuesday;2026-06-30;00:00:00;ACS Ingerasii din Banie Craiova;ACS Baller Bucuresti 2;;0-0;
22;Tuesday;2026-06-30;00:00:00;ACS Victoria Arad;CSU Andu Sibiu Negru;;0-0;
23;Tuesday;2026-06-30;00:00:00;CS BBB Raptors Berceni Negru;CSS Sibiu;;0-0;
24;Tuesday;2026-06-30;00:00:00;CS Tonika Pucioasa;CSS Gheorgheni;;0-0;
25;Tuesday;2026-06-30;00:00:00;ABC Laguna Bucuresti Negru;ACS Victoria Arad;;0-0;
26;Tuesday;2026-06-30;00:00:00;ACS Baller Bucuresti 2;ACS Star 2010 Tragu Jiu;;0-0;
27;Tuesday;2026-06-30;00:00:00;ACS Deceneu Tulcea 1;ACS Ingerasii din Banie Craiova;;0-0;
29;Tuesday;2026-06-30;00:00:00;CSU Andu Sibiu Negru;CS BBB Raptors Berceni Negru;;0-0;
30;Tuesday;2026-06-30;00:00:00;CSS Sibiu;CS Tonika Pucioasa;;0-0;
16;Tuesday;2026-06-30;00:00:00;CS Vest Activ Timisoara Galben;ACS Juniors Craiova;;0-0;
17;Tuesday;2026-06-30;00:00:00;CS Concordia Chiajna;ACS Synergy Baschet Iasi;;0-0;
19;Tuesday;2026-06-30;00:00:00;A Solaris Sporting Club Ploiesti 2;ACS Energy Basketball Academy Targu Jiu Albastru;;0-0;
20;Tuesday;2026-06-30;00:00:00;ABC Play Bucuresti 1;ACS Bedene Baschet Valenii de Munte;;0-0;
21;Tuesday;2026-06-30;00:00:00;ACS Energy Basketball Academy Targu Jiu Albastru;ABC Play Bucuresti 1;;0-0;
23;Tuesday;2026-06-30;00:00:00;ACS Juniors Craiova;A Solaris Sporting Club Ploiesti 2;;0-0;
24;Tuesday;2026-06-30;00:00:00;ACS Synergy Baschet Iasi;CS Vest Activ Timisoara Galben;;0-0;
25;Tuesday;2026-06-30;00:00:00;ACS Wolf Pack Bucuresti;CS Concordia Chiajna;;0-0;
16;Tuesday;2026-06-30;00:00:00;CSM Alexandria;ACS Kids Tampa 2015 Brasov;;0-0;
17;Tuesday;2026-06-30;00:00:00;CS Magic Champions Bucuresti Alb;ACS Templiers Academy Galati 1;;0-0;
19;Tuesday;2026-06-30;00:00:00;ABC Best Arad;ACS Fireballs Sibiu Albastru;;0-0;
20;Tuesday;2026-06-30;00:00:00;ABC Play Bucuresti 2;ACS Champions Bucuresti;;0-0;
21;Tuesday;2026-06-30;00:00:00;ACS Fireballs Sibiu Albastru;ABC Play Bucuresti 2;;0-0;
23;Tuesday;2026-06-30;00:00:00;ACS Kids Tampa 2015 Brasov;ABC Best Arad;;0-0;
24;Tuesday;2026-06-30;00:00:00;ACS Templiers Academy Galati 1;CSM Alexandria;;0-0;
25;Tuesday;2026-06-30;00:00:00;ASBC Fan Baschet Otopeni Galben;CS Magic Champions Bucuresti Alb;;0-0;
19;Tuesday;2026-06-30;00:00:00;ACS Sedu Corunca;ABC Laguna Bucuresti Gri;;0-0;
20;Tuesday;2026-06-30;00:00:00;ACS CS Heart Drobeta Turneu Severin 2;ACS Baller Bucuresti 1;;0-0;
22;Tuesday;2026-06-30;00:00:00;ACS U-BT Cluj-Napoca Rosu;CSU Andu Sibiu Albastru;;0-0;
23;Tuesday;2026-06-30;00:00:00;CS BBB Raptors Berceni Galben;CSS Sfantu Gheorghe;;0-0;
24;Tuesday;2026-06-30;00:00:00;CS Steaua Magic 2008 Bucuresti;CSS Focsani;;0-0;
25;Tuesday;2026-06-30;00:00:00;ABC Laguna Bucuresti Gri;ACS U-BT Cluj-Napoca Rosu;;0-0;
26;Tuesday;2026-06-30;00:00:00;ACS Baller Bucuresti 1;ACS Sedu Corunca;;0-0;
27;Tuesday;2026-06-30;00:00:00;ACS Dan Dacian Bucuresti Verde;ACS CS Heart Drobeta Turneu Severin 2;;0-0;
29;Tuesday;2026-06-30;00:00:00;CSU Andu Sibiu Albastru;CS BBB Raptors Berceni Galben;;0-0;
30;Tuesday;2026-06-30;00:00:00;CSS Sfantu Gheorghe;CS Steaua Magic 2008 Bucuresti;;0-0;
16;Tuesday;2026-06-30;00:00:00;CSM Constanta;ACS Mambra Sport Timisoara;;0-0;
17;Tuesday;2026-06-30;00:00:00;CS Magic Champions Bucuresti Albastru;ACS Templiers Academy Galati 2;;0-0;
19;Tuesday;2026-06-30;00:00:00;ABC Blue Sharks Constanta;ACS Fireballs Sibiu Galben;;0-0;
20;Tuesday;2026-06-30;00:00:00;ABC Shooting Stars Buftea;ACS Cristina Ciocan Resita;;0-0;
21;Tuesday;2026-06-30;00:00:00;ACS Fireballs Sibiu Galben;ABC Shooting Stars Buftea;;0-0;
23;Tuesday;2026-06-30;00:00:00;ACS Mambra Sport Timisoara;ABC Blue Sharks Constanta;;0-0;
24;Tuesday;2026-06-30;00:00:00;ACS Templiers Academy Galati 2;CSM Constanta;;0-0;
25;Tuesday;2026-06-30;00:00:00;ASBC Fan Baschet Otopeni Mov;CS Magic Champions Bucuresti Albastru;;0-0;
19;Tuesday;2026-06-30;00:00:00;ACS SB Horatiu Giurgiu Bucuresti 2;ABC Laguna Bucuresti Albastru;;0-0;
20;Tuesday;2026-06-30;00:00:00;ACS CS Heart Drobeta Turneu Severin 1;ACS AS 30 Bucuresti;;0-0;
22;Tuesday;2026-06-30;00:00:00;ACS U-BT Cluj-Napoca Portocaliu;CSM VSKC Miercurea Ciuc;;0-0;
23;Tuesday;2026-06-30;00:00:00;CS Axiopolis Cernavoda;CSS Ramnicu Valcea;;0-0;
24;Tuesday;2026-06-30;00:00:00;CS Sport Star Timisoara;CSO Voluntari;;0-0;
25;Tuesday;2026-06-30;00:00:00;ABC Laguna Bucuresti Albastru;ACS U-BT Cluj-Napoca Portocaliu;;0-0;
26;Tuesday;2026-06-30;00:00:00;ACS AS 30 Bucuresti;ACS SB Horatiu Giurgiu Bucuresti 2;;0-0;
27;Tuesday;2026-06-30;00:00:00;ACS Dan Dacian Bucuresti Rosu;ACS CS Heart Drobeta Turneu Severin 1;;0-0;
